Date,Name,Year,Letterboxd URI
2024-09-20,Deadpool & Wolverine,2024,https://boxd.it/jq8s
2024-09-20,Interstellar,2014,https://boxd.it/4VZ8
2024-09-20,Poor Things,2023,https://boxd.it/tNWU
2024-09-20,Hellraiser,1987,https://boxd.it/1Zpi
2024-09-20,Hellraiser: Inferno,2000,https://boxd.it/1RCe
2024-09-21,Parasite,2019,https://boxd.it/hTha
2024-09-21,A Monster Calls,2016,https://boxd.it/7DjE
2024-09-21,Over the Garden Wall,2014,https://boxd.it/eqFw
2024-09-21,Detachment,2011,https://boxd.it/2BiY
2024-09-21,Inception,2010,https://boxd.it/1skk
2024-09-21,The Butterfly Effect,2004,https://boxd.it/27M0
2024-09-21,The Truman Show,1998,https://boxd.it/18U8
2024-09-21,The Platform,2019,https://boxd.it/mUm6
2024-09-21,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2024-09-21,Cube,1997,https://boxd.it/2aoU
2024-09-21,The Matrix,1999,https://boxd.it/2a1m
2024-09-21,Spider-Man,2002,https://boxd.it/2a8i
2024-09-21,Logan,2017,https://boxd.it/7Piy
2024-09-21,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2024-09-21,Back to the Future,1985,https://boxd.it/2b8e
2024-09-21,Venom,2018,https://boxd.it/b8wA
2024-09-21,The Prestige,2006,https://boxd.it/293w
2024-09-21,Tenet,2020,https://boxd.it/leq4
2024-09-21,Mr. Nobody,2009,https://boxd.it/1k44
2024-09-21,Predestination,2014,https://boxd.it/6bJM
2024-09-21,Se7en,1995,https://boxd.it/29zs
2024-09-21,Tenacious D in The Pick of Destiny,2006,https://boxd.it/27go
2024-09-21,Saw,2004,https://boxd.it/2aWW
2024-09-21,All Dogs Go to Heaven,1989,https://boxd.it/1TIo
2024-09-21,"Monsters, Inc.",2001,https://boxd.it/2a46
2024-09-21,Madagascar,2005,https://boxd.it/29dc
2024-09-21,Help! I'm a Fish,2000,https://boxd.it/1RAs
2024-09-21,Hercules,1997,https://boxd.it/1SDW
2024-09-21,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0
2024-09-21,Jet Set,2007,https://boxd.it/65Tw
2024-09-21,Spirited Away,2001,https://boxd.it/2b4m
2024-09-22,ERASED,2016,https://boxd.it/px1A
2024-09-22,Steins;Gate,2011,https://boxd.it/psNE
2024-09-22,Death Note,2006,https://boxd.it/psEs
2024-09-22,School of Rock,2003,https://boxd.it/28xK
2024-09-22,The Road to El Dorado,2000,https://boxd.it/1W6s
2024-09-22,Kirikou and the Sorceress,1998,https://boxd.it/1C3y
2024-09-22,My Neighbor Totoro,1988,https://boxd.it/20eA
2024-09-22,Ergo Proxy,2006,https://boxd.it/pDni
2024-09-22,Serial Experiments Lain,1998,https://boxd.it/hYQE
2024-11-14,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ
2024-12-25,The Black Bomber,1992,https://boxd.it/3Ggg
2025-01-11,Venom: The Last Dance,2024,https://boxd.it/ynqo
2025-01-11,Venom: Let There Be Carnage,2021,https://boxd.it/llco
